model,strategy,method,feature,importance,rank
Decision Tree,SMOTE,Built-in,age,0.47927396435110353,1
Decision Tree,SMOTE,Built-in,waist_circumference,0.16186698831913388,2
Decision Tree,SMOTE,Built-in,vigorous_recreational_activity,0.10329279009321488,3
Decision Tree,SMOTE,Built-in,moderate_work_activity,0.0673312199552928,4
Decision Tree,SMOTE,Built-in,total_cholesterol_mg_dl,0.06362305425781536,5
Decision Tree,SMOTE,Built-in,income_poverty_ratio,0.03345830777316123,6
Decision Tree,SMOTE,Built-in,vigorous_work_activity,0.02496080832726774,7
Decision Tree,SMOTE,Built-in,ever_smoked_100_cigarettes,0.011494112436649578,8
Decision Tree,SMOTE,Built-in,race_ethnicity_6.0,0.007104175179224984,9
Decision Tree,SMOTE,Built-in,hdl_cholesterol_mg_dl,0.0065346179867315935,10
Decision Tree,SMOTE,Built-in,total_sugar_g,0.006074014540005549,11
Decision Tree,SMOTE,Built-in,ldl_cholesterol_mg_dl,0.005605810447306828,12
Decision Tree,SMOTE,Built-in,triglycerides_mg_dl,0.005039727562451237,13
Decision Tree,SMOTE,Built-in,fiber_g,0.004132678959484221,14
Decision Tree,SMOTE,Built-in,average_alcoholic_drinks_per_day,0.0031953817753986938,15
Decision Tree,SMOTE,Built-in,bmi,0.0024181368807100687,16
Decision Tree,SMOTE,Built-in,sex_2.0,0.0022623607894066197,17
Decision Tree,SMOTE,Built-in,energy_kcal,0.0021395716845940957,18
Decision Tree,SMOTE,Built-in,carbohydrate_g,0.0019234664259081863,19
Decision Tree,SMOTE,Built-in,mean_diastolic_bp,0.0014804137137902468,20
Decision Tree,SMOTE,Built-in,cholesterol_mg,0.00147264227674334,21
Decision Tree,SMOTE,Built-in,protein_g,0.001396191900768167,22
Decision Tree,SMOTE,Built-in,sleep_hours,0.0012836948965299997,23
Decision Tree,SMOTE,Built-in,mean_systolic_bp,0.0011366061338595852,24
Decision Tree,SMOTE,Built-in,race_ethnicity_3.0,0.0011110777781292403,25
Decision Tree,SMOTE,Built-in,race_ethnicity_4.0,0.000388185555318472,26
Decision Tree,SMOTE,Built-in,walk_or_bicycle_transport,0.0,27
Decision Tree,SMOTE,Built-in,moderate_recreational_activity,0.0,28
Decision Tree,SMOTE,Built-in,total_fat_g,0.0,29
Decision Tree,SMOTE,Built-in,alcohol_info_missing,0.0,30
Decision Tree,SMOTE,Built-in,race_ethnicity_2.0,0.0,31
Decision Tree,SMOTE,Built-in,race_ethnicity_7.0,0.0,32
Decision Tree,SMOTE,Built-in,education_level_2.0,0.0,33
Decision Tree,SMOTE,Built-in,education_level_3.0,0.0,34
Decision Tree,SMOTE,Built-in,education_level_4.0,0.0,35
Decision Tree,SMOTE,Built-in,education_level_5.0,0.0,36
